date,state,county,candidate,party,candidatevotes,totalvotes
11/06/1956,OH,Sandusky,Stevenson,democrat,5687,20696
11/06/1956,OH,Sandusky,Eisenhower,republican,15009,20696
11/06/1956,OH,Sandusky,Andrews,southern democrat,0,20696
11/06/1956,OH,Sandusky,Other,other,0,20696
11/06/1956,OH,Scioto,Stevenson,democrat,14985,37095
11/06/1956,OH,Scioto,Eisenhower,republican,22110,37095
11/06/1956,OH,Scioto,Andrews,southern democrat,0,37095
11/06/1956,OH,Scioto,Other,other,0,37095
11/06/1956,OH,Seneca,Stevenson,democrat,6260,23988
11/06/1956,OH,Seneca,Eisenhower,republican,17728,23988
11/06/1956,OH,Seneca,Andrews,southern democrat,0,23988
11/06/1956,OH,Seneca,Other,other,0,23988
11/06/1956,OH,Shelby,Stevenson,democrat,4515,13967
11/06/1956,OH,Shelby,Eisenhower,republican,9452,13967
11/06/1956,OH,Shelby,Andrews,southern democrat,0,13967
11/06/1956,OH,Shelby,Other,other,0,13967
11/06/1956,OH,Stark,Stevenson,democrat,49445,133112
11/06/1956,OH,Stark,Eisenhower,republican,83667,133112
11/06/1956,OH,Stark,Andrews,southern democrat,0,133112
11/06/1956,OH,Stark,Other,other,0,133112
11/06/1956,OH,Summit,Stevenson,democrat,93378,196250
11/06/1956,OH,Summit,Eisenhower,republican,102872,196250
11/06/1956,OH,Summit,Andrews,southern democrat,0,196250
11/06/1956,OH,Summit,Other,other,0,196250
11/06/1956,OH,Trumbull,Stevenson,democrat,32913,76849
11/06/1956,OH,Trumbull,Eisenhower,republican,43936,76849
11/06/1956,OH,Trumbull,Andrews,southern democrat,0,76849
11/06/1956,OH,Trumbull,Other,other,0,76849
11/06/1956,OH,Tuscarawas,Stevenson,democrat,12908,32784
11/06/1956,OH,Tuscarawas,Eisenhower,republican,19876,32784
11/06/1956,OH,Tuscarawas,Andrews,southern democrat,0,32784
11/06/1956,OH,Tuscarawas,Other,other,0,32784
11/06/1956,OH,Union,Stevenson,democrat,2653,10228
11/06/1956,OH,Union,Eisenhower,republican,7575,10228
11/06/1956,OH,Union,Andrews,southern democrat,0,10228
11/06/1956,OH,Union,Other,other,0,10228
11/06/1956,OH,Van_Wert,Stevenson,democrat,4208,14042
11/06/1956,OH,Van_Wert,Eisenhower,republican,9834,14042
11/06/1956,OH,Van_Wert,Andrews,southern democrat,0,14042
11/06/1956,OH,Van_Wert,Other,other,0,14042
11/06/1956,OH,Vinton,Stevenson,democrat,1916,4914
11/06/1956,OH,Vinton,Eisenhower,republican,2998,4914
11/06/1956,OH,Vinton,Andrews,southern democrat,0,4914
11/06/1956,OH,Vinton,Other,other,0,4914
11/06/1956,OH,Warren,Stevenson,democrat,7193,20866
11/06/1956,OH,Warren,Eisenhower,republican,13673,20866
11/06/1956,OH,Warren,Andrews,southern democrat,0,20866
11/06/1956,OH,Warren,Other,other,0,20866
11/06/1956,OH,Washington,Stevenson,democrat,6068,19995
11/06/1956,OH,Washington,Eisenhower,republican,13927,19995
11/06/1956,OH,Washington,Andrews,southern democrat,0,19995
11/06/1956,OH,Washington,Other,other,0,19995
11/06/1956,OH,Wayne,Stevenson,democrat,6984,26453
11/06/1956,OH,Wayne,Eisenhower,republican,19469,26453
11/06/1956,OH,Wayne,Andrews,southern democrat,0,26453
11/06/1956,OH,Wayne,Other,other,0,26453
11/06/1956,OH,Williams,Stevenson,democrat,3225,13009
11/06/1956,OH,Williams,Eisenhower,republican,9784,13009
11/06/1956,OH,Williams,Andrews,southern democrat,0,13009
11/06/1956,OH,Williams,Other,other,0,13009
11/06/1956,OH,Wood,Stevenson,democrat,8553,25397
11/06/1956,OH,Wood,Eisenhower,republican,16844,25397
11/06/1956,OH,Wood,Andrews,southern democrat,0,25397
11/06/1956,OH,Wood,Other,other,0,25397
11/06/1956,OH,Wyandot,Stevenson,democrat,2495,9302
11/06/1956,OH,Wyandot,Eisenhower,republican,6807,9302
11/06/1956,OH,Wyandot,Andrews,southern democrat,0,9302
11/06/1956,OH,Wyandot,Other,other,0,9302
11/06/1956,OK,Adair,Stevenson,democrat,2418,5570
11/06/1956,OK,Adair,Eisenhower,republican,3152,5570
11/06/1956,OK,Adair,Andrews,southern democrat,0,5570
11/06/1956,OK,Adair,Other,other,0,5570
11/06/1956,OK,Alfalfa,Stevenson,democrat,1371,4622
11/06/1956,OK,Alfalfa,Eisenhower,republican,3251,4622
11/06/1956,OK,Alfalfa,Andrews,southern democrat,0,4622
11/06/1956,OK,Alfalfa,Other,other,0,4622
11/06/1956,OK,Atoka,Stevenson,democrat,2424,4155
11/06/1956,OK,Atoka,Eisenhower,republican,1731,4155
11/06/1956,OK,Atoka,Andrews,southern democrat,0,4155
11/06/1956,OK,Atoka,Other,other,0,4155
11/06/1956,OK,Beaver,Stevenson,democrat,946,2992
11/06/1956,OK,Beaver,Eisenhower,republican,2046,2992
11/06/1956,OK,Beaver,Andrews,southern democrat,0,2992
11/06/1956,OK,Beaver,Other,other,0,2992
11/06/1956,OK,Beckham,Stevenson,democrat,3561,6755
11/06/1956,OK,Beckham,Eisenhower,republican,3194,6755
11/06/1956,OK,Beckham,Andrews,southern democrat,0,6755
11/06/1956,OK,Beckham,Other,other,0,6755
11/06/1956,OK,Blaine,Stevenson,democrat,1844,5699
11/06/1956,OK,Blaine,Eisenhower,republican,3855,5699
11/06/1956,OK,Blaine,Andrews,southern democrat,0,5699
11/06/1956,OK,Blaine,Other,other,0,5699
